Transaction_ID,Customer_ID,Transaction_Date,Product,Quantity,Unit_Price,Revenue
T001,C001,2026-01-05,Laptop,1,3500,3500
T002,C002,2026-01-06,Monitor,2,850,1700
T003,C003,2026-01-07,Keyboard,3,120,360
T004,C004,2026-01-08,Mouse,2,75,150
T005,C005,2026-01-09,Headset,1,250,250
T006,C006,2026-01-10,Laptop,1,4200,4200
T007,C007,2026-01-11,Monitor,2,900,1800
T008,C007,2026-01-11,Monitor,2,900,1800
T009,C008,2026-01-12,Keyboard,4,100,400
T011,C001,2026-01-14,Webcam,2,300,600
T012,C002,2026-01-15,Headset,1,200,200
